ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
IE,0.147723826,6,403,17.5,-1.905664208,3,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IE,0.142834805,4,370,18.5,-1.939089826,4,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IE,0.147570022,3,340,19.5,-1.906698907,5,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IE,0.161857676,0,340,20.5,-1.814878611,6,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IS,0.001919301,0,162,16.5,-5.836411154,2,16,-5.199984346,0.8885040716,25,-5.852516058,4.1881265E-6,0.05,-7.029892736,-3.370075956
IS,0.001283291,0,146,17.5,-6.082137612,3,16,-5.199984346,0.8885040716,25,-5.852516058,4.1881265E-6,0.05,-7.029892736,-3.370075956
IS,0.001405883,0,92,18.5,-6.029838305,4,16,-5.199984346,0.8885040716,25,-5.852516058,4.1881265E-6,0.05,-7.029892736,-3.370075956
IS,0.001489361,0,99,19.5,-5.99572911,5,16,-5.199984346,0.8885040716,25,-5.852516058,4.1881265E-6,0.05,-7.029892736,-3.370075956
IS,0.001551889,1,170,20.5,-5.970921528,6,16,-5.199984346,0.8885040716,25,-5.852516058,4.1881265E-6,0.05,-7.029892736,-3.370075956
IT,0.40232,18,678,14.5,-0.908024987,0,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.391026691,18,679,15.5,-0.936425352,1,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.390352637,21,681,16.5,-0.93814624,2,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.392294304,13,680,17.5,-0.933197083,3,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.28940794,10,678,18.5,-1.236468655,4,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.178540599,8,678,19.5,-1.717353917,5,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
IT,0.148064172,8,680,20.5,-1.903378382,6,17,-3.439947408,0.1604555045,25,-21.43863757,1.30631E-17,0.05,-3.770411706,-3.10948311
LT,0.11483,22,174,14.5,-2.15563168,0,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.089289657,41,189,15.5,-2.40473237,1,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.147868682,44,199,16.5,-1.90469069,2,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.244466838,26,192,17.5,-1.404593419,3,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.256492554,27,192,18.5,-1.356764476,4,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.165771399,4,199,19.5,-1.791131276,5,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LT,0.140435334,5,200,20.5,-1.955912669,6,18,-1.231596831,0.1315493262,25,-9.36224355,1.1917044E-9,0.05,-1.50252774,-0.960665922
LV,0.36721,29,297,14.5,-0.999101851,0,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.313485293,6,250,15.5,-1.156817967,1,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.301920925,8,249,16.5,-1.194283482,2,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.367385541,3,349,17.5,-0.998625224,3,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.392193545,3,352,18.5,-0.933453307,4,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.417921983,2,302,19.5,-0.870070575,5,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
LV,0.433061128,3,302,20.5,-0.834569906,6,19,-2.543101052,0.1856271909,25,-13.70004598,3.990634E-13,0.05,-2.925407408,-2.160794696
NL,0.00386,7,968,14.5,-5.326716841,0,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.001884987,4,891,15.5,-5.848235014,1,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.000397972,4,901,16.5,-6.572732419,2,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.000316266,2,810,17.5,-6.632956694,3,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.000590935,1,807,18.5,-6.44343339,4,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.000530934,1,903,19.5,-6.48187727,5,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NL,0.00095755,1,911,20.5,-6.236061856,6,20,-4.955139171,0.2899507959,25,-17.08958638,2.661838E-15,0.05,-5.552304014,-4.357974329
NO,0.00033,7,738,14.5,-6.622576337,0,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.000301346,4,870,15.5,-6.644355847,1,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.000303184,0,937,16.5,-6.642945155,2,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.00028785,0,1014,17.5,-6.654781428,3,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.000242119,0,1013,18.5,-6.690936775,4,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.000218976,0,966,19.5,-6.7097439,5,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
NO,0.000215265,0,973,20.5,-6.71279322,6,21,-4.982209431,0.3550352194,25,-14.03300055,2.340077E-13,0.05,-5.713418153,-4.251000709
PL,0.15504,17,519,14.5,-1.857642894,0,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.14848368,18,514,15.5,-1.900568054,1,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.197417047,13,557,16.5,-1.617384164,2,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.260253557,12,578,17.5,-1.34226386,3,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.34220906,8,540,18.5,-1.069415514,4,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.393741406,8,532,19.5,-0.929524398,5,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PL,0.385220183,12,569,20.5,-0.95134765,6,22,-3.379127978,0.1739041597,25,-19.43097844,1.334502E-16,0.05,-3.737290299,-3.020965656
PT,0.43552,41,802,14.5,-0.828921086,0,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.452127767,40,748,15.5,-0.791581148,1,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.508119114,29,655,16.5,-0.675073274,2,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.456919833,22,616,17.5,-0.781061148,3,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.323065312,28,623,18.5,-1.126810204,4,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.333623818,27,628,19.5,-1.094748309,5,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
PT,0.353923215,18,406,20.5,-1.035853809,6,23,-2.932203382,0.1164936391,25,-25.17050205,2.807087E-19,0.05,-3.172126523,-2.692280241
RO,0.059090277,33,1269,15.5,-2.81190723,1,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
RO,0.11990979,30,1040,16.5,-2.112710551,2,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
RO,0.17314806,13,358,17.5,-1.747849423,3,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
RO,0.144881234,19,358,18.5,-1.924962454,4,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
RO,0.14406371,18,369,19.5,-1.930582257,5,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
RO,0.170153554,21,497,20.5,-1.765194148,6,24,-3.682085628,0.1690451122,25,-21.7816746,8.956315E-18,0.05,-4.030240554,-3.333930702
SE,0.00282,4,530,14.5,-5.567504856,0,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.002991857,6,534,15.5,-5.523498687,1,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.003183849,2,400,16.5,-5.476523666,2,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.002709905,1,384,17.5,-5.596748972,3,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.001458155,1,418,18.5,-6.008344053,4,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.001679075,0,390,19.5,-5.922283688,5,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SE,0.002507442,1,409,20.5,-5.652868217,6,25,-4.613985046,0.3231512227,25,-14.27809868,1.589731E-13,0.05,-5.279527448,-3.948442645
SI,0.15628,10,170,14.5,-1.849727623,0,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.165157453,7,170,15.5,-1.794819428,1,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.163440541,9,170,16.5,-1.805206227,2,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.184479782,2,170,17.5,-1.684809394,3,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.219165284,2,170,18.5,-1.513376723,4,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.228950729,3,170,19.5,-1.469890216,5,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
SI,0.212361312,3,170,20.5,-1.54476825,6,26,-2.83863687,0.2455521317,25,-11.56022084,1.592355E-11,0.05,-3.344360952,-2.332912789
