ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
RO,0.059090277,33,1269,15.5,-2.81190723,1,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
RO,0.11990979,30,1040,16.5,-2.112710551,2,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
RO,0.17314806,13,358,17.5,-1.747849423,3,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
RO,0.144881234,19,358,18.5,-1.924962454,4,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
RO,0.14406371,18,369,19.5,-1.930582257,5,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
RO,0.170153554,21,497,20.5,-1.765194148,6,24,0.136753125,0.0509585036,25,2.6836173636,0.0127314616,0.05,0.0318021223,0.2417041276
SE,0.00282,4,530,14.5,-5.567504856,0,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.002991857,6,534,15.5,-5.523498687,1,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.003183849,2,400,16.5,-5.476523666,2,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.002709905,1,384,17.5,-5.596748972,3,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.001458155,1,418,18.5,-6.008344053,4,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.001679075,0,390,19.5,-5.922283688,5,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SE,0.002507442,1,409,20.5,-5.652868217,6,25,-0.064922309,0.0411654537,25,-1.577106613,0.1273421982,0.05,-0.149704148,0.0198595297
SI,0.15628,10,170,14.5,-1.849727623,0,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.165157453,7,170,15.5,-1.794819428,1,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.163440541,9,170,16.5,-1.805206227,2,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.184479782,2,170,17.5,-1.684809394,3,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.219165284,2,170,18.5,-1.513376723,4,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.228950729,3,170,19.5,-1.469890216,5,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SI,0.212361312,3,170,20.5,-1.54476825,6,26,0.0597727622,0.0409611078,25,1.4592564866,0.1569462976,0.05,-0.024588218,0.1441337428
SK,0.39903,10,171,14.5,-0.916215735,0,27,0.0455380601,0.0409543183,25,1.1119232861,0.2767500373,0.05,-0.038808937,0.1298850575
SK,0.351861321,0,170,15.5,-1.041680157,1,27,0.0455380601,0.0409543183,25,1.1119232861,0.2767500373,0.05,-0.038808937,0.1298850575
SK,0.384361831,0,170,16.5,-0.953572564,2,27,0.0455380601,0.0409543183,25,1.1119232861,0.2767500373,0.05,-0.038808937,0.1298850575
